,t0_rog,t0_entropy_step,t0_contact_locs,t0_known_locs,t0_wind_instensity,t0_prop_damaged_buildings,t0_rain_intensity,t0_dist2_DTMsites,t0_dist2_mainroads,t0_dist2_urbancentres,t0_popdensity3km_2015,t0_DTM_IDPpop,t1_contact_locs,t1_known_locs,t1_wind_instensity,t1_prop_damaged_buildings,t1_rain_intensity,t1_dist2_DTMsites,t1_dist2_mainroads,t1_dist2_urbancentres,t1_popdensity3km_2015,t1_DTM_IDPpop,t1_dist_to_hl,t2_contact_locs,t2_known_locs,t2_wind_instensity,t2_prop_damaged_buildings,t2_rain_intensity,t2_dist2_DTMsites,t2_dist2_mainroads,t2_dist2_urbancentres,t2_popdensity3km_2015,t2_DTM_IDPpop,t2_dist_to_hl,t3_contact_locs,t3_known_locs,t3_wind_instensity,t3_prop_damaged_buildings,t3_rain_intensity,t3_dist2_DTMsites,t3_dist2_mainroads,t3_dist2_urbancentres,t3_popdensity3km_2015,t3_DTM_IDPpop,t3_dist_to_hl
92,high,high,some,some,low,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,zero,some,medium,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high,zero,some,medium,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high
93,medium-high,low-medium,some,some,high,low,high,far,zero-low,zero-low,low-medium,zero-low,some,some,high,low,high,far,zero-low,low-medium,low-medium,zero-low,low-medium,some,some,high,low,high,far,medium-high,low-medium,low-medium,zero-low,low-medium,some,some,high,low,high,far,zero-low,low-medium,low-medium,zero-low,low-medium
94,low-medium,low-medium,most,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,most,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,low-medium,most,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,low-medium,zero,some,medium,low,high,no_sites,zero-low,low-medium,medium-high,zero-low,medium-high
95,zero-low,zero-low,some,some,high,low,medium,near,zero-low,medium-high,zero-low,zero-low,some,some,high,low,medium,near,zero-low,medium-high,zero-low,zero-low,low-medium,some,some,high,low,medium,near,zero-low,medium-high,zero-low,zero-low,low-medium,some,some,high,low,medium,near,medium-high,low-medium,low-medium,high,medium-high
96,low-medium,low-medium,zero,some,high,low,medium,near,high,medium-high,zero-low,zero-low,zero,some,high,low,medium,near,high,medium-high,zero-low,zero-low,medium-high,zero,some,high,low,medium,far,high,medium-high,low-medium,zero-low,low-medium,zero,some,high,low,medium,near,medium-high,low-medium,low-medium,high,medium-high
97,medium-high,medium-high,zero,some,high,low,high,near,medium-high,zero-low,medium-high,high,zero,some,high,low,high,near,medium-high,zero-low,medium-high,high,zero-low,zero,some,high,low,high,near,low-medium,low-medium,low-medium,high,zero-low,most,some,high,high,medium,near,high,low-medium,low-medium,zero-low,medium-high
98,high,low-medium,some,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero,zero,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high,zero,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,high
99,zero-low,low-medium,zero,most,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,zero,most,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,low-medium,zero,most,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,low-medium,zero,most,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,low-medium
100,medium-high,zero-low,most,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,zero,some,medium,low,medium,no_sites,zero-low,zero-low,low-medium,zero-low,high,zero,some,low,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,high
101,low-medium,high,most,some,medium,low,high,no_sites,zero-low,medium-high,low-medium,zero-low,most,some,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,low-medium,most,some,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,low-medium,most,some,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,low-medium
102,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
103,low-medium,zero-low,most,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,most,some,medium,low,high,no_sites,zero-low,medium-high,low-medium,zero-low,low-medium,most,some,medium,low,high,no_sites,zero-low,medium-high,low-medium,zero-low,low-medium,most,some,medium,low,high,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium
104,low-medium,zero-low,most,most,low,low,low,no_sites,high,low-medium,low-medium,zero-low,zero,zero,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,zero,zero,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,zero,zero,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high
105,medium-high,medium-high,some,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,medium-high
106,high,medium-high,zero,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero,some,high,low,high,far,low-medium,low-medium,low-medium,zero-low,high,zero,some,high,low,high,far,low-medium,low-medium,zero-low,zero-low,high,zero,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium
107,high,zero-low,most,some,high,low,medium,far,high,medium-high,low-medium,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high
108,low-medium,high,some,some,low,low,medium,no_sites,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,low-medium,medium-high,zero-low,zero-low,low-medium
109,low-medium,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,high,low-medium,zero-low,zero-low,medium-high,some,some,low,low,medium,no_sites,high,low-medium,zero-low,zero-low,medium-high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
110,high,zero-low,most,some,medium,low,high,far,high,medium-high,zero-low,zero-low,most,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high
111,zero-low,zero-low,most,most,high,low,medium,far,zero-low,medium-high,zero-low,zero-low,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,medium-high,most,most,high,low,medium,near,low-medium,medium-high,zero-low,zero-low,low-medium,most,most,high,low,medium,near,medium-high,medium-high,zero-low,zero-low,zero-low
112,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
113,zero-low,high,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero,zero,high,low,medium,far,zero-low,medium-high,zero-low,zero-low,high,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
114,low-medium,zero-low,some,some,low,low,low,no_sites,high,zero-low,low-medium,zero-low,some,some,low,low,low,no_sites,high,low-medium,zero-low,zero-low,medium-high,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high
115,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
116,low-medium,zero-low,some,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,zero,some,medium,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,medium,low,medium,no_sites,high,medium-high,zero-low,zero-low,low-medium,zero,zero,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high
117,low-medium,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
118,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,zero,medium,low,low,no_sites,zero-low,zero-low,medium-high,zero-low,high,zero,zero,medium,low,low,no_sites,zero-low,zero-low,medium-high,zero-low,high,zero,zero,medium,low,low,no_sites,zero-low,zero-low,medium-high,zero-low,high
119,medium-high,low-medium,most,some,medium,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
120,high,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,some,low,low,high,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,high,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,high,no_sites,high,medium-high,zero-low,zero-low,medium-high
121,zero-low,zero-low,some,most,high,low,medium,near,high,medium-high,zero-low,zero-low,some,most,high,low,medium,near,high,medium-high,zero-low,zero-low,low-medium,some,zero,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,most,high,low,medium,near,medium-high,low-medium,low-medium,high,low-medium
122,zero-low,high,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
123,low-medium,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,some,high,low,medium,near,medium-high,low-medium,medium-high,high,high,zero,some,high,low,medium,near,medium-high,low-medium,low-medium,high,high,zero,some,high,low,medium,near,medium-high,low-medium,low-medium,high,high
124,high,high,some,some,high,low,medium,near,medium-high,zero-low,low-medium,high,some,some,high,low,medium,near,zero-low,medium-high,zero-low,zero-low,medium-high,some,some,high,low,medium,near,medium-high,low-medium,low-medium,high,zero-low,some,some,high,low,medium,near,zero-low,medium-high,zero-low,zero-low,medium-high
125,zero-low,zero-low,some,some,high,low,high,near,high,medium-high,zero-low,zero-low,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,low-medium,some,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,low-medium
126,low-medium,low-medium,most,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,zero,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,medium-high,zero,most,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,medium-high,zero,most,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,medium-high
127,high,medium-high,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,low-medium
128,low-medium,high,most,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low
129,medium-high,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
130,medium-high,high,zero,some,low,low,low,no_sites,high,low-medium,low-medium,zero-low,zero,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,low-medium,zero,some,medium,low,low,no_sites,zero-low,zero-low,low-medium,zero-low,medium-high,zero,some,low,low,low,no_sites,high,medium-high,low-medium,zero-low,low-medium
